CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS;MID_RANGE;MEAN_DEVIATION;PHI;TIMEOUT
200.17.202.35;54113;1745543425635640574;1745543425643944448;856564;11;100032376.11244161;121316.2414538598;705793944;1.745543425744462e+18
200.17.202.35;54113;1745543425735614265;1745543425743745792;856565;11;100009272.90119746;132287.82855263524;647258108;1.7455434258442842e+18
200.17.202.35;54113;1745543425835610070;1745543425843613952;856566;11;99995161.61107773;133170.33581711806;642969546;1.7455434259441418e+18
200.17.202.35;54113;1745543425935918137;1745543425943840256;856567;11;100018275.84996995;142967.54112763365;598909164;1.7455434260444303e+18
200.17.202.35;54113;1745543426035623330;1745543426043826688;856568;11;100015091.46497296;131855.17201186562;649384243;1.7455434261443692e+18
200.17.202.35;54113;1745543426135596231;1745543426143641856;856569;11;99995099.11847566;138662.00130797486;617507113;1.7455434262441915e+18
200.17.202.35;54113;1745543426235603427;1745543426243730176;856570;11;100004421.2066281;134117.8893296113;638429913;1.745543426344271e+18
200.17.202.35;54113;1745543426335595420;1745543426343620096;856571;11;99992971.08596529;132156.22105946008;647907246;1.7455434264441416e+18
200.17.202.35;54113;1745543426435623366;1745543426443602688;856572;11;99991933.17736876;119978.50755004314;713670102;1.7455434265440745e+18
200.17.202.35;54113;1745543426535605468;1745543426543636736;856573;11;99996144.65963188;112192.13905816282;763201192;1.7455434266440817e+18
200.17.202.35;54113;1745543426635620003;1745543426643599616;856574;11;99992818.1936687;104299.39111553435;820956613;1.7455434267440097e+18
200.17.202.35;54113;1745543426735609648;1745543426743625728;856575;11;99996147.57430182;97198.83263711158;880930080;1.7455434268440108e+18
200.17.202.35;54113;1745543426835623052;1745543426843890944;856576;11;100023054.41687164;114385.79194321802;748567405;1.7455434269443715e+18
200.17.202.35;54113;1745543426935594877;1745543426943655680;856577;11;99997222.57518446;128779.05443605992;664902975;1.745543427044168e+18
200.17.202.35;54113;1745543427035616523;1745543427043567360;856578;11;99988668.31766602;124455.40651090036;688002873;1.7455434271440538e+18
200.17.202.35;54113;1745543427135589809;1745543427143637504;856579;11;99996815.88589942;120157.43409320792;712613233;1.745543427244115e+18
200.17.202.35;54113;1745543427235595664;1745543427243629568;856580;11;99996340.6973095;108616.87927382959;788329390;1.7455434273440604e+18
200.17.202.35;54113;1745543427335584510;1745543427343600640;856581;11;99993813.82757854;100282.06107739604;853851405;1.7455434274439956e+18
200.17.202.35;54113;1745543427435627826;1745543427443712000;856582;11;100005568.44482069;102008.47221180197;839401642;1.7455434275441257e+18
200.17.202.35;54113;1745543427535605451;1745543427543472896;856583;11;99981101.20033862;116274.86947269048;736411751;1.745543427643919e+18
200.17.202.35;54113;1745543427635611173;1745543427643603712;856584;11;99996072.68030475;119618.86249155973;715825905;1.7455434277440783e+18
200.17.202.35;54113;1745543427735590059;1745543427743512064;856585;11;99987300.61227427;116429.04427287885;735438324;1.7455434278439652e+18
200.17.202.35;54113;1745543427835613504;1745543427843700736;856586;11;100007437.75104685;124923.27861816355;685432550;1.745543427944208e+18
200.17.202.35;54113;1745543427935619034;1745543427943638784;856587;11;100000498.77594216;119369.92586103233;717321230;1.7455434280441167e+18
200.17.202.35;54113;1745543428035583920;1745543428043480064;856588;11;99984576.89834794;123354.81086914527;694149522;1.745543428143958e+18
200.17.202.35;54113;1745543428135605986;1745543428143519488;856589;11;99990061.60851315;116504.03994743634;734968362;1.7455434282439757e+18
200.17.202.35;54113;1745543428235617171;1745543428243593216;856590;11;99998428.24766183;113220.27510137805;756285778;1.7455434283440445e+18
200.17.202.35;54113;1745543428335616115;1745543428343511552;856591;11;99990419.02289565;109907.47235742315;779082466;1.7455434284439416e+18
200.17.202.35;54113;1745543428435627601;1745543428443636992;856592;11;100003921.12060608;112418.82283211593;761679252;1.7455434285440906e+18
200.17.202.35;54113;1745543428535612786;1745543428543608832;856593;11;100000713.00854547;104385.0526095123;820301215;1.7455434286440271e+18
200.17.202.35;54113;1745543428635614882;1745543428643871744;856594;11;100026932.90769093;120166.44649401374;712572336;1.7455434287443794e+18
200.17.202.35;54113;1745543428735642088;1745543428743721984;856595;11;100009263.61692184;125819.09261370511;680559561;1.7455434288442345e+18
200.17.202.35;54113;1745543428835780894;1745543428843751424;856596;11;100011281.25522967;115254.8216601504;742940605;1.7455434289442237e+18
200.17.202.35;54113;1745543428935639669;1745543428943604480;856597;11;99995458.72970669;119551.86501710204;716237992;1.745543429044078e+18
200.17.202.35;54113;1745543429035601954;1745543429043453184;856598;11;99980783.25673601;122272.15148606081;700304097;1.745543429143923e+18
200.17.202.35;54113;1745543429135603517;1745543429143511296;856599;11;99988516.13106242;117777.81066385371;727028195;1.7455434292439708e+18
200.17.202.35;54113;1745543429235604903;1745543429243606528;856600;11;99999187.71795619;116671.61649122651;733922200;1.7455434293440724e+18
200.17.202.35;54113;1745543429335593879;1745543429343790592;856601;11;100017675.34616056;123492.08304648532;693388495;1.7455434294443023e+18
200.17.202.35;54113;1745543429435585684;1745543429443556096;856602;11;99992458.21154451;136360.00935789285;627956034;1.745543429544094e+18
200.17.202.35;54113;1745543429535599210;1745543429543561472;856603;11;99993749.99039006;124015.7872676522;690462022;1.7455434296440512e+18
200.17.202.35;54113;1745543429635577655;1745543429643560192;856604;11;99994246.99135105;112111.20950188074;763779930;1.7455434297440028e+18
200.17.202.35;54113;1745543429735612201;1745543429743623168;856605;11;100001119.89221594;107772.98941658737;794525536;1.7455434298440553e+18
200.17.202.35;54113;1745543429835585927;1745543429843622656;856606;11;100000956.70299435;97158.87969652237;881324414;1.7455434299440123e+18
200.17.202.35;54113;1745543429935636083;1745543429943616512;856607;11;100000246.63269491;88153.0620263048;971362665;1.7455434300439693e+18
200.17.202.35;54113;1745543430035609979;1745543430043710208;856608;11;100009591.56942542;88682.69255418282;965562628;1.7455434301440745e+18
200.17.202.35;54113;1745543430135604745;1745543430143696640;856609;11;100007275.61248288;82130.38024130644;1042595858;1.7455434302440325e+18
200.17.202.35;54113;1745543430235616960;1745543430243595264;856610;11;99996410.45123458;84782.50346546335;1009983092;1.745543430343931e+18
200.17.202.35;54113;1745543430335621326;1745543430343770624;856611;11;100014305.40611112;94199.2079954591;909020331;1.7455434304441618e+18
200.17.202.35;54113;1745543430435624099;1745543430443591168;856612;11;99994929.26550001;104155.4278070253;822128025;1.7455434305440028e+18
200.17.202.35;54113;1745543430535610745;1745543430543866880;856613;11;100023007.53895001;121818.15847632187;702926372;1.745543430644377e+18
200.17.202.35;54113;1745543430635614975;1745543430643714048;856614;11;100005423.58505501;127220.29652369079;673078899;1.7455434307442284e+18
200.17.202.35;54113;1745543430735618170;1745543430743799296;856615;11;100013406.0265495;122480.70836582086;699125589;1.7455434308443026e+18
200.17.202.35;54113;1745543430835612276;1745543430843836160;856616;11;100015751.82389456;112578.43487428845;760620789;1.7455434309443023e+18
200.17.202.35;54113;1745543430935759769;1745543430943825408;856617;11;100013101.4415051;103970.97377631564;823591387;1.7455434310442545e+18
200.17.202.35;54113;1745543431035589303;1745543431043455744;856618;11;99974824.89735459;131850.4205491945;649445785;1.745543431143958e+18
200.17.202.35;54113;1745543431135594489;1745543431143382016;856619;11;99969969.60761914;123520.66822973384;693242692;1.7455434312438461e+18
200.17.202.35;54113;1745543431235580533;1745543431243388160;856620;11;99973587.04685724;114786.0406448468;745995773;1.7455434313438208e+18
200.17.202.35;54113;1745543431335605489;1745543431343505152;856621;11;99987927.54217152;117647.93189463833;727849610;1.7455434314439636e+18
200.17.202.35;54113;1745543431435600085;1745543431443528448;856622;11;99991464.38795437;109419.9844880222;782581923;1.7455434315439575e+18
200.17.202.35;54113;1745543431535623091;1745543431543544832;856623;11;99993956.34915894;100969.94724378306;848076133;1.7455434316439427e+18
200.17.202.35;54113;1745543431635595016;1745543431643770368;856624;11;100017114.31424305;114030.91760351048;750939344;1.7455434317442437e+18
200.17.202.35;54113;1745543431735624092;1745543431743705600;856625;11;100008926.08281875;110816.05726746428;772725590;1.7455434318441577e+18
200.17.202.35;54113;1745543431835598517;1745543431843646720;856626;11;100002145.47453688;106515.0598225925;803928609;1.745543431944075e+18
200.17.202.35;54113;1745543431935622753;1745543431943596800;856627;11;99996938.9270832;101070.10129402134;847239722;1.745543432043998e+18
200.17.202.35;54113;1745543432035591186;1745543432043747584;856628;11;100012323.43437487;106347.59845629978;805196413;1.7455434321441853e+18
200.17.202.35;54113;1745543432135600547;1745543432143602944;856629;11;99996627.09093739;111409.18204815668;768615334;1.7455434322440453e+18
200.17.202.35;54113;1745543432235585513;1745543432243478272;856630;11;99984497.18184365;112398.1729370801;761853189;1.7455434323439124e+18
200.17.202.35;54113;1745543432335599597;1745543432343620608;856631;11;100000281.06365928;116942.23745900676;732250456;1.7455434324440886e+18
200.17.202.35;54113;1745543432435588412;1745543432443788032;856632;11;100016995.35729337;121962.30734717804;702111241;1.7455434325442929e+18
200.17.202.35;54113;1745543432535621618;1745543432543633152;856633;11;99999807.82156403;126953.61234179698;674507848;1.7455434326441408e+18
200.17.202.35;54113;1745543432635585424;1745543432643781632;856634;11;100014675.03940763;129125.46895121392;663163579;1.7455434327443128e+18
200.17.202.35;54113;1745543432735614850;1745543432743607552;856635;11;99995799.53546686;135088.4259968551;633891530;1.7455434328441436e+18
200.17.202.35;54113;1745543432835589615;1745543432843712768;856636;11;100006741.18192017;132521.22985048313;646172009;1.7455434329442496e+18
200.17.202.35;54113;1745543432935790112;1745543432943904256;856637;11;100025215.86372815;137743.78867341773;621673110;1.7455434330444805e+18
200.17.202.35;54113;1745543433035612280;1745543433043659264;856638;11;99998195.07735534;150990.19617889103;567134243;1.7455434331442614e+18
200.17.202.35;54113;1745543433135620766;1745543433143654912;856639;11;99997940.3696198;136145.88429653592;628970987;1.7455434332441974e+18
200.17.202.35;54113;1745543433235625022;1745543433243610880;856640;11;99993743.13265783;126728.53282886249;675711380;1.7455434333441116e+18
200.17.202.35;54113;1745543433335602557;1745543433343443456;856641;11;99977626.41939203;130172.39281175882;657835436;1.745543433443942e+18
200.17.202.35;54113;1745543433435642603;1745543433443828480;856642;11;100018366.17745283;157894.9115913795;542336113;1.7455434335444785e+18
200.17.202.35;54113;1745543433535625305;1745543433543719168;856643;11;100005598.35970755;154873.2381775248;552918079;1.7455434336443443e+18
200.17.202.35;54113;1745543433635631011;1745543433643856640;856644;11;100018785.7237368;152573.2783890174;561253678;1.7455434337444856e+18
200.17.202.35;54113;1745543433735588924;1745543433743473920;856645;11;99978635.15136312;177466.52292379492;482527147;1.7455434338441623e+18
200.17.202.35;54113;1745543433835623010;1745543433843547392;856646;11;99988118.8362268;169203.55549510347;506091702;1.7455434339442122e+18
