CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS;INTERVAL;DELAY;VARIATION;TIMEOUT
200.17.202.34;60920;1745023500977966065;1745023500978426624;860623;0;100070400;100004587.65136592;35855.609043610515;100148010.08754036
200.17.202.34;60920;1745023501077979261;1745023501078405376;860624;0;99978752;100002004.08622934;34595.25676218339;100140385.11327808
200.17.202.34;60920;1745023501177945274;1745023501178364672;860625;0;99959296;99997733.2776064;34979.45884660484;100137651.11299282
200.17.202.34;60920;1745023501277930541;1745023501278336768;860626;0;99972096;99995169.54984576;33788.867946519866;100130325.02163184
200.17.202.34;60920;1745023501377959989;1745023501378378240;860627;0;100041472;99999799.79486118;34577.20166574962;100138108.60152417
200.17.202.34;60920;1745023501477968156;1745023501478401792;860628;0;100023552;100002175.01537506;33257.17996166838;100135203.73522174
200.17.202.34;60920;1745023501577949354;1745023501578371328;860629;0;99969536;99998911.11383756;32868.973349257045;100130387.00723459
200.17.202.34;60920;1745023501677943463;1745023501678344704;860630;0;99973376;99996357.6024538;31880.236259711146;100123878.54749264
200.17.202.34;60920;1745023501777942841;1745023501778368256;860631;0;100023552;99999077.04220842;31139.70841289821;100123635.87586
200.17.202.34;60920;1745023501877963307;1745023501878349056;860632;0;99980800;99997249.33798757;29670.671370365584;100115932.02346903
200.17.202.34;60920;1745023501977937667;1745023501978356736;860633;0;100007680;99998292.40418881;27642.36381444785;100108861.8594466
200.17.202.34;60920;1745023502077950841;1745023502078353408;860634;0;99996672;99998130.36376993;25023.96380999642;100098226.21900992
200.17.202.34;60920;1745023502177962629;1745023502178405888;860635;0;100052480;100003565.32739294;27413.034689703203;100113217.46615174
200.17.202.34;60920;1745023502277965079;1745023502278472960;860636;0;100067072;100009915.99465364;30387.331755368665;100131465.32167512
200.17.202.34;60920;1745023502377935113;1745023502378320896;860637;0;99847936;99993717.99518828;41926.79809865989;100161425.18758292
200.17.202.34;60920;1745023502477967033;1745023502478426880;860638;0;100105984;100004944.59566946;47838.05872184758;100196296.83055685
200.17.202.34;60920;1745023502577957089;1745023502578342144;860639;0;99915264;99995976.53610252;51125.506459914664;100200478.56194218
200.17.202.34;60920;1745023502677944392;1745023502678317824;860640;0;99975680;99993946.88249227;47839.6440631506;100185305.45874488
200.17.202.34;60920;1745023502777980501;1745023502778418176;860641;0;100100352;100004587.39424305;52632.14023253088;100215115.95517316
200.17.202.34;60920;1745023502877928523;1745023502878289408;860642;0;99871232;99991251.85481875;59370.91169115244;100228735.50158335
200.17.202.34;60920;1745023502977930360;1745023502978286080;860643;0;99996672;99991793.86933687;53921.63358834987;100207480.40369028
200.17.202.34;60920;1745023503077958856;1745023503078374912;860644;0;100088832;100001497.68240319;57262.90198919569;100230549.29035997
200.17.202.34;60920;1745023503177935722;1745023503178332416;860645;0;99957504;99997098.31416288;55496.04320656414;100219082.48698914
200.17.202.34;60920;1745023503277965066;1745023503278427392;860646;0;100094976;100006886.0827466;58755.430611248215;100241907.80519159
200.17.202.34;60920;1745023503377947433;1745023503378336256;860647;0;99908864;99997083.87447195;61701.87499731815;100243891.37446122
200.17.202.34;60920;1745023503477972010;1745023503478418944;860648;0;100082688;100005644.28702475;63236.0587951112;100258588.52220519
200.17.202.34;60920;1745023503577937695;1745023503578386944;860649;0;99968000;100001879.85832228;60300.43874782785;100243081.61331359
200.17.202.34;60920;1745023503677974241;1745023503678409984;860650;0;100023040;100003995.87249005;56174.80762404022;100228695.10298622
200.17.202.34;60920;1745023503777972228;1745023503778390784;860651;0;99980800;100001676.28524105;52644.95538574146;100212256.10678402
200.17.202.34;60920;1745023503877954434;1745023503878404096;860652;0;100013312;100002839.85671695;48427.67417547274;100196550.55341883
200.17.202.34;60920;1745023503977965640;1745023503978365952;860653;0;99961856;99998741.47104524;47273.45386244955;100187835.28649504
200.17.202.34;60920;1745023504077969946;1745023504078425600;860654;0;100059648;100004832.12394072;48027.696082132476;100196942.90826926
200.17.202.34;60920;1745023504177954622;1745023504178416384;860655;0;99990784;100003427.31154665;44489.25762858458;100181384.342061
200.17.202.34;60920;1745023504277965515;1745023504278356736;860656;0;99940352;99997119.78039199;45717.10990492524;100179988.2200117
200.17.202.34;60920;1745023504377935490;1745023504378300672;860657;0;99943936;99991801.4023528;45931.93914971221;100175529.15895164
200.17.202.34;60920;1745023504477968037;1745023504478402048;860658;0;100101376;100002758.86211751;51200.45902298959;100207560.69820948
200.17.202.34;60920;1745023504577944152;1745023504578390528;860659;0;99988480;100001330.97590576;47365.51071126675;100190793.01875083
200.17.202.34;60920;1745023504677961899;1745023504678373376;860660;0;99982848;99999482.67831518;44292.42747165783;100176652.3882018
200.17.202.34;60920;1745023504777958636;1745023504778391552;860661;0;100018176;100001352.01048365;41545.583676126815;100167534.34518816
200.17.202.34;60920;1745023504877954941;1745023504878394880;860662;0;100003328;100001549.60943529;37568.86436498513;100151825.06689523
200.17.202.34;60920;1745023504977967167;1745023504978415104;860663;0;100020224;100003417.04849178;35492.67307930902;100145387.74080901
200.17.202.34;60920;1745023505077966035;1745023505078396928;860664;0;99981824;100001257.74364261;33886.78013563944;100136804.86418517
200.17.202.34;60920;1745023505177978722;1745023505178405888;860665;0;100008960;100002027.96927835;31191.305194240453;100126793.19005531
200.17.202.34;60920;1745023505277964142;1745023505278435072;860666;0;100029184;100004743.57235052;30516.217439764718;100126808.44210957
200.17.202.34;60920;1745023505377942130;1745023505378347776;860667;0;99912704;99995539.61511548;35748.15720733611;100138532.24394482
200.17.202.34;60920;1745023505477938476;1745023505478320128;860668;0;99972352;99993220.85360393;34260.22684699543;100130261.76099192
200.17.202.34;60920;1745023505577950973;1745023505578393600;860669;0;100073472;100001245.96824354;38056.80733794195;100153473.19759531
200.17.202.34;60920;1745023505677967151;1745023505678395392;860670;0;100001792;100001300.5714192;34300.26946222832;100138501.6492681
200.17.202.34;60920;1745023505777958017;1745023505778361088;860671;0;99965696;99997740.11427727;34074.65394373283;100134038.7300522
200.17.202.34;60920;1745023505877974464;1745023505878448128;860672;0;100087040;100006670.10284954;38704.178264405244;100161486.81590717
200.17.202.34;60920;1745023505977967162;1745023505978359552;860673;0;99911424;99997145.4925646;43405.90969442509;100170769.1313423
200.17.202.34;60920;1745023506077986309;1745023506078424064;860674;0;100064512;100003882.14330815;45128.304394167804;100184395.36088482
200.17.202.34;60920;1745023506177956802;1745023506178327552;860675;0;99903488;99993842.72897734;49650.946852484776;100192446.51638728
200.17.202.34;60920;1745023506277958121;1745023506278345728;860676;0;100018176;99996276.0560796;46875.84655927667;100183779.4423167
200.17.202.34;60920;1745023506377967577;1745023506378328576;860677;0;99982848;99994933.25047164;43396.78695051267;100168520.39827369
200.17.202.34;60920;1745023506477963681;1745023506478332160;860678;0;100003584;99995798.32542448;39835.67571301366;100155141.02827653
200.17.202.34;60920;1745023506577974183;1745023506578502656;860679;0;100170496;100013268.09288202;51574.89885351007;100219567.68829606
200.17.202.34;60920;1745023506677967999;1745023506678461440;860680;0;99958784;100007819.68359382;51320.977327541514;100213103.59290399
200.17.202.34;60920;1745023506777958456;1745023506778297344;860681;0;99835904;99990628.11523445;61661.291118232315;100237273.27970737
200.17.202.34;60920;1745023506877954384;1745023506878277120;860682;0;99979776;99989542.903711;56471.852377509684;100215430.31322104
200.17.202.34;60920;1745023506977971854;1745023506978495488;860683;0;100218368;100012425.4133399;71418.92580576893;100298101.11656298
200.17.202.34;60920;1745023507077968187;1745023507078330368;860684;0;99834880;99994670.87200591;80256.12042578301;100315695.35370904
200.17.202.34;60920;1745023507177963247;1745023507178294784;860685;0;99964416;99991645.38480532;74953.44686373688;100291459.17226027
200.17.202.34;60920;1745023507277965611;1745023507278335232;860686;0;100040448;99996525.64632478;71850.33754488484;100283926.99650432
200.17.202.34;60920;1745023507377955736;1745023507378515712;860687;0;100180480;100014921.08169231;81221.19562116553;100339805.86417697
200.17.202.34;60920;1745023507477952397;1745023507478286592;860688;0;99770880;99990516.97352308;95062.77341135702;100370768.0671685
200.17.202.34;60920;1745023507577964529;1745023507578324736;860689;0;100038144;99995279.67617078;89842.92845314319;100354651.38998336
