CLIENT_IP;CLIENT_PORT;CLIENT_SENT_AT_NS;SERVER_RECEIVED_AT_NS;SEQUENCE_NUMBER;HOPS;MID_RANGE;MEAN_DEVIATION;TIMEOUT
200.17.202.34;60920;1745022732777958143;1745022732778441984;852941;0;1.745022731878442e+18;1000000661.586395;1.7450227358784445e+18
200.17.202.34;60920;1745022732877958811;1745022732878423552;852942;0;1.7450227319784402e+18;999998752.2277555;1.7450227359784353e+18
200.17.202.34;60920;1745022732977961957;1745022732978437376;852943;0;1.74502273207844e+18;999998595.40498;1.7450227360784343e+18
200.17.202.34;60920;1745022733077960910;1745022733078398464;852944;0;1.7450227321784358e+18;999994588.6644819;1.745022736178414e+18
200.17.202.34;60920;1745022733177962568;1745022733178410496;852945;0;1.7450227322784333e+18;999992595.3980337;1.7450227362784036e+18
200.17.202.34;60920;1745022733277961816;1745022733278403840;852946;0;1.7450227323784302e+18;999990391.8582304;1.7450227363783918e+18
200.17.202.34;60920;1745022733377955394;1745022733378432512;852947;0;1.7450227324784305e+18;999991583.0724074;1.7450227364783967e+18
200.17.202.34;60920;1745022733477965486;1745022733478470144;852948;0;1.7450227325784343e+18;999996392.7651666;1.74502273657842e+18
200.17.202.34;60920;1745022733577960104;1745022733578385152;852949;0;1.7450227326784292e+18;999991838.2886499;1.7450227366783964e+18
200.17.202.34;60920;1745022733677972972;1745022733678444032;852950;0;1.7450227327784307e+18;999994139.2597849;1.7450227367784072e+18
200.17.202.34;60920;1745022733777975451;1745022733778471424;852951;0;1.7450227328784348e+18;999998795.7338065;1.74502273687843e+18
200.17.202.34;60920;1745022733877977909;1745022733878384384;852952;0;1.74502273297843e+18;999993872.9604259;1.7450227369784054e+18
200.17.202.34;60920;1745022733977965563;1745022733978379008;852953;0;1.7450227330784248e+18;999989391.2643833;1.7450227370783823e+18
200.17.202.34;60920;1745022734077963282;1745022734078437120;852954;0;1.7450227331784259e+18;999991680.937945;1.7450227371783926e+18
200.17.202.34;60920;1745022734177974055;1745022734178408960;852955;0;1.7450227332784243e+18;999990823.2441505;1.7450227372783877e+18
200.17.202.34;60920;1745022734277971213;1745022734278338304;852956;0;1.7450227333784159e+18;999983139.3197354;1.7450227373783485e+18
200.17.202.34;60920;1745022734377963141;1745022734378353408;852957;0;1.7450227334784095e+18;999978578.9877619;1.7450227374783237e+18
200.17.202.34;60920;1745022734477961381;1745022734478328064;852958;0;1.7450227335784013e+18;999972580.2889856;1.7450227375782917e+18
200.17.202.34;60920;1745022734577959949;1745022734578326784;852959;0;1.7450227336783939e+18;999967872.660087;1.7450227376782653e+18
200.17.202.34;60920;1745022734677971038;1745022734678429696;852960;0;1.7450227337783977e+18;999974669.3940783;1.7450227377782963e+18
200.17.202.34;60920;1745022734777966206;1745022734778340352;852961;0;1.745022733878392e+18;999971468.0546705;1.745022737878278e+18
200.17.202.34;60920;1745022734877965884;1745022734878534400;852962;0;1.7450227339784061e+18;999988554.8492035;1.7450227379783603e+18
200.17.202.34;60920;1745022734977958860;1745022734978509568;852963;0;1.7450227340784164e+18;1000000041.7642831;1.7450227380784166e+18
200.17.202.34;60920;1745022735077987248;1745022735078434304;852964;0;1.7450227341784182e+18;1000001829.5878547;1.7450227381784256e+18
200.17.202.34;60920;1745022735177982892;1745022735178343424;852965;0;1.7450227342784108e+18;999994171.4290693;1.7450227382783875e+18
200.17.202.34;60920;1745022735277980070;1745022735278377472;852966;0;1.7450227343784074e+18;999991426.2861624;1.745022738378373e+18
200.17.202.34;60920;1745022735377986568;1745022735378388992;852967;0;1.7450227344784056e+18;999990440.4575461;1.7450227384783675e+18
200.17.202.34;60920;1745022735477971794;1745022735478416896;852968;0;1.745022734578407e+18;999992522.8117915;1.745022738578377e+18
200.17.202.34;60920;1745022735577966151;1745022735578359040;852969;0;1.745022734678402e+18;999988483.3306123;1.745022738678356e+18
200.17.202.34;60920;1745022735677973117;1745022735678421248;852970;0;1.7450227347784038e+18;999991554.9975511;1.74502273877837e+18
200.17.202.34;60920;1745022735777969665;1745022735778396672;852971;0;1.745022734878403e+18;999991682.6977959;1.7450227388783698e+18
200.17.202.34;60920;1745022735877977671;1745022735878436608;852972;0;1.7450227349784064e+18;999995868.0280163;1.7450227389783898e+18
200.17.202.34;60920;1745022735977974081;1745022735978414848;852973;0;1.7450227350784072e+18;999997126.0252147;1.7450227390783956e+18
200.17.202.34;60920;1745022736077975169;1745022736078450688;852974;0;1.7450227351784115e+18;1000001765.4226933;1.7450227391784187e+18
200.17.202.34;60920;1745022736177973757;1745022736178454272;852975;0;1.745022735278416e+18;1000005864.0804238;1.7450227392784394e+18
200.17.202.34;60920;1745022736277977546;1745022736278470144;852976;0;1.7450227353784212e+18;1000010704.8723814;1.745022739378464e+18
200.17.202.34;60920;1745022736377966244;1745022736378350848;852977;0;1.745022735478414e+18;1000002594.3851433;1.7450227394784246e+18
200.17.202.34;60920;1745022736477971765;1745022736478450432;852978;0;1.7450227355784177e+18;1000005970.1466289;1.7450227395784415e+18
200.17.202.34;60920;1745022736577973083;1745022736578446080;852979;0;1.7450227356784205e+18;1000008214.731966;1.7450227396784532e+18
200.17.202.34;60920;1745022736677969721;1745022736678444032;852980;0;1.7450227357784228e+18;1000009748.4587693;1.7450227397784617e+18
200.17.202.34;60920;1745022736777982870;1745022736778470400;852981;0;1.7450227358784276e+18;1000013535.2128924;1.7450227398784817e+18
